dept_name_raw,total,fiscal_year,variable,time_period,as_of_date,dept_name,dept_code,abbreviation
Finance-Budget Stabilization Reserve,58291000,2025,Actual,YTD,2024-09-30,Finance: Budget Stabilization Reserve,35-BSR,
Finance-Disability-Reg #32 Payroll,3279609,2025,Actual,YTD,2024-09-30,Finance: Reg #32,35-R32,
Finance-Grant Match,0,2025,Actual,YTD,2024-09-30,Finance: Grant Match,35-GM,
Finance-Community College Subsidy,56003181,2025,Actual,YTD,2024-09-30,Finance: Community College Subsidy,35-CC,
Finance Employee Benefits (1),218833451,2025,Actual,YTD,2024-09-30,Finance: Employee Benefits,35-EB,Employee Benefits
Employee Benefits: Unemployment Compensation,670481,2025,Actual,YTD,2024-09-30,Employee Benefits: Unemployment Compensation,35-EB-UC,
Employee Benefits: Employee Disability,30446623,2025,Actual,YTD,2024-09-30,Employee Benefits: Employee Disability,35-EB-DIS,
Employee Benefits: Pension Obligation Bonds,12966626,2025,Actual,YTD,2024-09-30,Employee Benefits: Pension Obligation Bonds,35-EB-POB,
Employee Benefits: Pension,-7860020,2025,Actual,YTD,2024-09-30,Employee Benefits: Pension,35-EB-PEN,
Employee Benefits: FICA,25218033,2025,Actual,YTD,2024-09-30,Employee Benefits: FICA,35-EB-FICA,
Employee Benefits: Flex Cash Payments,0,2025,Actual,YTD,2024-09-30,Employee Benefits: Flex Cash Payments,35-EB-FLEX,
Employee Benefits: Health / Medical,154192745,2025,Actual,YTD,2024-09-30,Employee Benefits: Health/Medical,35-EB-HM,
Employee Benefits: Group Life Insurance,1156109,2025,Actual,YTD,2024-09-30,Employee Benefits: Group Life Insurance,35-EB-GLI,
Employee Benefits: Group Legal,2042854,2025,Actual,YTD,2024-09-30,Employee Benefits: Group Legal,35-EB-GL,
Employee Benefits: Tool Allowance,0,2025,Actual,YTD,2024-09-30,Employee Benefits: Tool Allowance,35-EB-TA,
Finance-Hero Scholarship Awards,0,2025,Actual,YTD,2024-09-30,Finance: Hero Scholarship Awards,35-HA,
Finance-Payment to Housing Trust Fund,31390926,2025,Actual,YTD,2024-09-30,Finance: Housing Trust Fund,35-HTF,
Finance-Indemnities (2),41985687,2025,Actual,YTD,2024-09-30,Finance: Indemnities,35-IN,
Finance-Refunds,10828,2025,Actual,YTD,2024-09-30,Finance: Refunds,35-R,
Finance-School District Contribution,71013148,2025,Actual,YTD,2024-09-30,Finance: School District Contribution,35-SD,
Finance-Witness Fees,56249,2025,Actual,YTD,2024-09-30,Finance: Witness Fees,35-WF,
Fire,94195733,2025,Actual,YTD,2024-09-30,Fire Department,13,Fire
First Judicial District,27504759,2025,Actual,YTD,2024-09-30,First Judicial District,84,FJD
Fleet Services,23517207,2025,Actual,YTD,2024-09-30,Office of Fleet Management,25,Fleet
